hub,SARIMA_MAPE_vs_STEO_2027
ERCOT_North,14.81
CAISO_SP15,18.09
ISONE_Internal,11.07
NYISO_HudsonValley,7.68
PJM_Western,9.62
MISO_Illinois,8.38
SPP_South,6.67
SERC_Southern,8.02
FRCC_Florida,3.43
NW_MidColumbia,14.33
SW_PaloVerde,18.67
